Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Handling-Alert-DialogBoxes-Dropdown,Chrome 119.0.0.0,,,2566-11-10 15:32:59,2566-11-10 15:34:43,1m - 44.649s,PASSED
,,,,,,,
Test Cases/Handling Alerts dialogue boxes and dropdown/Handling alerts/Handling Alert Keywords,Chrome 119.0.0.0,,,2566-11-10 15:32:59,2566-11-10 15:33:09,9.783s,PASSED
"openBrowser(""https://demo.automationtesting.in/Alerts.html"")",Chrome 119.0.0.0,,,2566-11-10 15:32:59,2566-11-10 15:33:05,5.650s,PASSED
"click(findTestObject(""Object Repository/Handling alerts dialogue boxes and dropdown/Handling alerts/Page_Alerts/button_click the button to display an  alert box""))",Chrome 119.0.0.0,,,2566-11-10 15:33:05,2566-11-10 15:33:06,1.498s,PASSED
verifyAlertPresent(3),Chrome 119.0.0.0,,,2566-11-10 15:33:06,2566-11-10 15:33:07,0.025s,PASSED
getAlertText(),Chrome 119.0.0.0,,,2566-11-10 15:33:07,2566-11-10 15:33:07,0.021s,PASSED
sleep(3),Chrome 119.0.0.0,,,2566-11-10 15:33:07,2566-11-10 15:33:07,0.006s,PASSED
acceptAlert(),Chrome 119.0.0.0,,,2566-11-10 15:33:07,2566-11-10 15:33:07,0.032s,PASSED
"click(findTestObject(""Handling alerts dialogue boxes and dropdown/Handling alerts/Page_Alerts/a_Alert with OK  Cancel""))",Chrome 119.0.0.0,,,2566-11-10 15:33:07,2566-11-10 15:33:07,0.574s,PASSED
"click(findTestObject(""Handling alerts dialogue boxes and dropdown/Handling alerts/Page_Alerts/button_click the button to display a confirm box""))",Chrome 119.0.0.0,,,2566-11-10 15:33:07,2566-11-10 15:33:08,0.497s,PASSED
sleep(3),Chrome 119.0.0.0,,,2566-11-10 15:33:08,2566-11-10 15:33:08,0.004s,PASSED
dismissAlert(),Chrome 119.0.0.0,,,2566-11-10 15:33:08,2566-11-10 15:33:08,0.037s,PASSED
"click(findTestObject(""Handling alerts dialogue boxes and dropdown/Handling alerts/Page_Alerts/a_Alert with Textbox""))",Chrome 119.0.0.0,,,2566-11-10 15:33:08,2566-11-10 15:33:08,0.509s,PASSED
"click(findTestObject(""Handling alerts dialogue boxes and dropdown/Handling alerts/Page_Alerts/button_click the button to demonstrate the _b1783c""))",Chrome 119.0.0.0,,,2566-11-10 15:33:08,2566-11-10 15:33:09,0.499s,PASSED
sleep(5),Chrome 119.0.0.0,,,2566-11-10 15:33:09,2566-11-10 15:33:09,0.008s,PASSED
"setAlertText(""Hello World!"")",Chrome 119.0.0.0,,,2566-11-10 15:33:09,2566-11-10 15:33:09,0.041s,PASSED
acceptAlert(),Chrome 119.0.0.0,,,2566-11-10 15:33:09,2566-11-10 15:33:09,0.018s,PASSED
,,,,,,,
